Club_Code,Last_Name,First_Name,Bib_No,YOB,LPF_Ratio,Race_Time,Category,Year_Band,Gender
RCC01,Butts,Elizabeth,1156,1992,0.862,02:59:27,Senior,23 to 49,Female
RCC14,Knowles,Remington,1157,2006,0.857,02:03:48,Junior,16 to 18,Male
RCC06,Blennerhassett,Fernando,1158,1944,0.788,01:12:47,Veteran,70 to 79,Male
RCC13,Turgeon,Jared,1159,1933,0.639,01:01:20,Super Veteran,90 to 100,Male
RCC13,Webb,Bryce,1160,1985,1,02:59:25,Senior,23 to 49,Male
RCC16,Welch,Zayden,1161,1987,1,02:59:38,Senior,23 to 49,Male
RCC11,Warden,Denis,1162,1953,0.866,02:50:50,Veteran,70 to 79,Male
RCC01,Makela,Nicole,1163,1953,0.752,01:54:32,Veteran,70 to 79,Female
RCC04,Roberts,Zeke,1164,1953,0.866,03:00:50,Veteran,70 to 79,Male
RCC16,Sherstan,Phillip,1165,1948,0.827,01:04:43,Veteran,70 to 79,Male
RCC11,Ahmed,Kyle,1166,1943,0.778,02:27:36,Grand Veteran,80 to 89,Male
RCC04,Stoner,Eduardo,1167,1955,0.879,02:04:54,Master,50 to 69,Male
RCC05,Williams,Kellen,1168,1960,0.908,01:58:21,Master,50 to 69,Male
RCC03,Harrison,Timothy,1169,2006,0.857,01:18:09,Junior,16 to 18,Male
RCC16,Chan,Sucahet,1171,1975,0.97,01:18:03,Senior,23 to 49,Male
RCC07,Shimizu,Rory,1172,1994,1,02:23:59,Senior,23 to 49,Male
RCC16,Hulley,Justin,1173,1995,1,01:46:35,Senior,23 to 49,Male
RCC11,Milward,Jenn,1175,1987,0.862,01:28:54,Senior,23 to 49,Female
RCC08,Mulholland,Candace,1176,1960,0.787,02:17:28,Master,50 to 69,Female
RCC03,Madden,Katy,1177,1931,0.531,01:35:15,Super Veteran,90 to 100,Female
RCC13,Urban,Theo,1178,1992,1,01:51:46,Senior,23 to 49,Male
RCC08,Thanhauser,Mark,1179,1992,1,02:06:33,Senior,23 to 49,Male
RCC11,Vaughan,Grant,1180,1946,0.808,02:01:08,Veteran,70 to 79,Male
RCC13,Brown,Monica,1181,1989,0.862,02:37:52,Senior,23 to 49,Female
RCC16,Leblanc,Amabella,1182,1955,0.763,01:32:31,Master,50 to 69,Female
RCC13,White,Peter,1183,1984,1,01:28:40,Senior,23 to 49,Male
RCC10,Van Jaarsveldt,Melker,1184,1964,0.927,01:34:30,Master,50 to 69,Male
RCC16,Soos,Emerson,1185,1994,1,01:30:31,Senior,23 to 49,Male
RCC13,Jackman,Connor,1187,2007,0.853,03:02:54,Junior,16 to 18,Male
RCC01,Bickham,Kaiden,1188,1951,0.851,03:05:45,Veteran,70 to 79,Male
RCC16,Bunko,Jean,1189,1994,1,02:59:56,Senior,23 to 49,Male
RCC11,Platt,Jeremiah,1190,1961,0.914,01:43:48,Master,50 to 69,Male
RCC16,Hoyle,Darcy,1191,1955,0.879,02:42:36,Master,50 to 69,Male
RCC16,Kitson,Theodore,1192,1936,0.688,01:14:47,Grand Veteran,80 to 89,Male
RCC13,Wyminga,Colin,1193,1935,0.673,01:22:40,Grand Veteran,80 to 89,Male
RCC05,Featheringham,Giovanni,1194,1988,1,03:09:57,Senior,23 to 49,Male
RCC11,Gladysz,Bryon,1195,1953,0.866,01:52:24,Veteran,70 to 79,Male
RCC08,Bainbridge,Emmett,1196,1987,1,02:00:46,Senior,23 to 49,Male
RCC14,Hooson,Maxwell,1197,1953,0.866,01:57:41,Veteran,70 to 79,Male
RCC13,Van Omerman,Travis,1198,1939,0.73,02:13:45,Grand Veteran,80 to 89,Male
RCC13,Wishloff,Kelvin,1199,1964,0.927,03:10:49,Master,50 to 69,Male
RCC14,Bergman,Elias,1200,1958,0.898,01:34:16,Master,50 to 69,Male
RCC11,Proche,Felix,1201,1967,0.94,02:30:02,Master,50 to 69,Male
RCC16,Sutherland,Patrick,1202,1993,1,02:39:12,Senior,23 to 49,Male
RCC02,Lof,Evelyn,1203,1995,0.862,01:44:44,Senior,23 to 49,Female
RCC05,Brenner,Isabelle,1204,1974,0.834,02:34:24,Senior,23 to 49,Female
RCC11,Harris,Kaleb,1205,2004,0.886,01:21:51,Espoir,19 to 22,Male
RCC10,Carlstrom,Dante,1206,1959,0.903,01:48:56,Master,50 to 69,Male
RCC04,Walker,Russell,1207,1982,0.996,02:53:43,Senior,23 to 49,Male
RCC16,Aardal,Rafael,1209,1935,0.673,01:05:31,Grand Veteran,80 to 89,Male
RCC13,Ignatiuk,Maddox,1210,2006,0.857,03:14:30,Junior,16 to 18,Male
RCC03,Manner,Amy,1211,1999,0.862,02:34:58,Senior,23 to 49,Female
RCC03,Perry,Derek,1212,1964,0.927,02:57:50,Master,50 to 69,Male
RCC13,Briggs,Pepper,1213,1967,0.813,02:48:26,Master,50 to 69,Female
RCC10,Germundson,Ludvig,1214,2007,0.853,02:19:39,Junior,16 to 18,Male
RCC13,Patel,Lukas,1215,1959,0.903,01:00:01,Master,50 to 69,Male
RCC16,Wensel,Brendan,1216,1990,1,01:37:05,Senior,23 to 49,Male
RCC07,Telford,Zachary,1217,1992,1,02:39:38,Senior,23 to 49,Male
RCC16,Turnbull,Keith,1218,1985,1,02:19:54,Senior,23 to 49,Male
RCC01,Foster,Christian,1219,1949,0.835,01:31:40,Veteran,70 to 79,Male
RCC11,Livesey,Michelle,1010,1943,0.678,01:52:01,Grand Veteran,80 to 89,Female
RCC08,Howard,Jeff,1221,1984,1,02:58:00,Senior,23 to 49,Male
RCC02,Cole,Nathan,1222,1943,0.778,02:13:10,Grand Veteran,80 to 89,Male
RCC02,Kaiser,Amir,1223,1945,0.798,01:18:57,Veteran,70 to 79,Male
RCC09,Creighton,Jason,1224,1938,0.717,02:57:30,Grand Veteran,80 to 89,Male
RCC02,Fraser,Kirk,1225,1951,0.851,01:24:33,Veteran,70 to 79,Male
RCC11,Klein,Erik,1226,1947,0.818,01:55:37,Veteran,70 to 79,Male
RCC06,Yoshimura,Kevin,1227,1957,0.891,01:26:07,Master,50 to 69,Male
RCC09,Mercer,Emmanuelle,1228,1946,0.704,01:27:04,Veteran,70 to 79,Female
RCC07,Fox,Ashton,1229,1939,0.73,01:56:07,Grand Veteran,80 to 89,Male
RCC10,Beckstrand,Agneta,1231,1957,0.773,01:05:31,Master,50 to 69,Female
RCC05,Chilvers,Sian,1232,1976,0.84,02:14:18,Senior,23 to 49,Female
RCC12,Wieser,Mattheo,1233,2007,0.853,01:57:06,Junior,16 to 18,Male
RCC09,Hagedorn,Richard,1234,1932,0.622,02:44:24,Super Veteran,90 to 100,Male
RCC16,Callaghan,Omar,1235,1930,0.583,03:08:34,Super Veteran,90 to 100,Male
RCC11,Grant,Dawson,1236,1992,1,02:04:09,Senior,23 to 49,Male
RCC11,Tichelaar,Arthur,1237,1987,1,01:22:35,Senior,23 to 49,Male
RCC04,Cislo,Francis,1238,1930,0.583,01:20:15,Super Veteran,90 to 100,Male
RCC08,Duggon,Jayce,1239,1960,0.908,02:27:40,Master,50 to 69,Male
RCC16,Manning,Charles,1240,2006,0.857,01:22:50,Junior,16 to 18,Male
RCC03,Bourgue,Ashley,1241,1964,0.803,01:51:26,Master,50 to 69,Female
RCC05,Brazeau,Gabby,1242,1986,0.862,02:12:56,Senior,23 to 49,Female
RCC13,Robertson,Myles,1243,2004,0.886,02:26:32,Espoir,19 to 22,Male
RCC09,Naylor,Kara,1244,2006,0.733,01:19:33,Junior,16 to 18,Female
RCC11,Husband,Walter,1245,1995,1,01:05:46,Senior,23 to 49,Male
RCC01,Dixon,Samuel,1246,1993,1,01:06:00,Senior,23 to 49,Male
RCC14,Anderson,Jett,1247,1962,0.918,01:36:02,Master,50 to 69,Male
RCC13,Batycky,Paxton,1248,1977,0.977,03:08:17,Senior,23 to 49,Male
RCC06,Maclean,Kim,1249,1933,0.562,02:42:01,Super Veteran,90 to 100,Female
RCC04,Ellis,Jeffrey,1250,1942,0.766,01:44:57,Grand Veteran,80 to 89,Male
RCC12,McPhee,Jo-Anne,1251,2002,0.807,01:47:59,Espoir,19 to 22,Female
RCC13,Britton,Jacob,1252,1950,0.843,01:42:48,Veteran,70 to 79,Male
RCC02,Cabush,Shawna,1253,1998,0.862,02:25:57,Senior,23 to 49,Female
RCC13,Pollard,Calvin,1254,1940,0.743,03:07:54,Grand Veteran,80 to 89,Male
RCC05,Platten,Jude,1255,1950,0.843,03:07:42,Veteran,70 to 79,Male
RCC13,Fagan,Gideon,1256,1998,1,03:02:00,Senior,23 to 49,Male
RCC16,Bowden,Shantel,1257,1970,0.822,01:23:35,Master,50 to 69,Female
RCC16,Green,Hendrix,1258,1991,1,01:37:31,Senior,23 to 49,Male
RCC07,Bonin,Karol,1259,1941,0.755,02:57:38,Grand Veteran,80 to 89,Male
RCC05,Cornelius,Vincent,1260,2004,0.886,01:17:01,Espoir,19 to 22,Male
RCC13,Carroll,Vic,1261,1994,1,02:08:54,Senior,23 to 49,Male
RCC16,Bastarache,Geoff,1262,1974,0.966,02:27:30,Senior,23 to 49,Male
RCC16,Wyminga-Scott,Jonathan,1263,1955,0.879,01:32:53,Master,50 to 69,Male
RCC13,Bolivar,Rich,1264,1941,0.755,01:29:15,Grand Veteran,80 to 89,Male
RCC16,Lee,Mercedes,1265,1974,0.834,02:53:13,Senior,23 to 49,Female
RCC11,Gibney,Milo,1266,1985,1,03:01:49,Senior,23 to 49,Male
RCC11,Gillett,Charlie,1267,1954,0.872,03:06:46,Master,50 to 69,Male
RCC13,Mckeever,Kendra,1269,2003,0.782,03:05:38,Espoir,19 to 22,Female
RCC07,Bennett,Jayke,1270,1975,0.97,01:31:14,Senior,23 to 49,Male
RCC04,Croner,Elliott,1271,1961,0.914,02:13:59,Junior,16 to 18,Male
RCC11,Jepson,Oscar,1272,1947,0.818,02:21:01,Veteran,70 to 79,Male
RCC16,English,Braxton,1273,1982,0.996,02:52:13,Senior,23 to 49,Male
RCC01,Ballard,Finley,1274,1949,0.835,03:10:10,Veteran,70 to 79,Male
RCC10,Loehr,Ana,1275,1936,0.603,02:49:12,Grand Veteran,80 to 89,Female
RCC15,Twa,Jake,1276,1940,0.743,02:09:08,Grand Veteran,80 to 89,Male
RCC13,Coates,Clayton,1277,1961,0.914,02:34:56,Master,50 to 69,Male
RCC07,Bishop,Emmanuel,1278,1931,0.603,01:11:42,Super Veteran,90 to 100,Male
RCC11,Cheney,Brad,1279,1930,0.583,02:34:02,Super Veteran,90 to 100,Male
RCC11,Hewson,Carlos,1280,2003,0.912,02:04:31,Espoir,19 to 22,Male
RCC11,Cunningham,Ben,1281,1989,1,01:19:26,Senior,23 to 49,Male
RCC16,Reid,Hayden,1282,1943,0.778,01:53:10,Grand Veteran,80 to 89,Male
RCC08,Wellstead,Marcus,1283,1993,1,02:48:33,Senior,23 to 49,Male
RCC12,Yanicki,Erick,1284,1996,1,02:12:43,Senior,23 to 49,Male
RCC04,Henry,Jasper,1285,1937,0.702,02:25:44,Grand Veteran,80 to 89,Male
RCC14,Adamson,Jorge,1286,1979,0.984,01:39:48,Senior,23 to 49,Male
RCC15,Bunnin,Sandra,1287,1961,0.791,02:23:24,Master,50 to 69,Female
RCC02,Harvey,Phoenix,1288,1943,0.778,01:16:26,Grand Veteran,80 to 89,Male
RCC16,Hearle,Silas,1289,1954,0.872,01:29:56,Master,50 to 69,Male
RCC11,Rosenberg,Nolan,1290,1935,0.673,02:53:17,Grand Veteran,80 to 89,Male
RCC15,Gamal,Tristan,1291,2000,1,02:00:52,Senior,23 to 49,Male
RCC15,Campbell,Jill,1292,1958,0.778,02:24:43,Master,50 to 69,Female
RCC13,Gates,Zander,1293,1979,0.984,02:14:30,Senior,23 to 49,Male
RCC10,Bouet,Kimberly,1294,1997,0.862,03:12:59,Senior,23 to 49,Female
RCC01,Macklem,Odette,1295,1974,0.834,02:50:43,Senior,23 to 49,Female
RCC13,Aspen,Edward,1296,1958,0.898,02:01:02,Master,50 to 69,Male
RCC13,Gibbons,Antonio,1297,1985,1,01:31:58,Senior,23 to 49,Male
RCC13,Mills,Micah,1298,1990,1,03:08:59,Senior,23 to 49,Male
RCC11,Zenert,Ethan,1299,1975,0.97,03:14:12,Senior,23 to 49,Male
RCC14,Brereton,Sarah,1300,1967,0.813,02:18:25,Master,50 to 69,Female
RCC08,Mawdsley,Stacy,1301,1982,0.858,01:56:06,Senior,23 to 49,Female
RCC07,Westwell,Xavier,1302,1985,1,01:31:11,Senior,23 to 49,Male
RCC12,Flaming-Grabner,Magdalena,1303,1966,0.809,02:52:52,Master,50 to 69,Female
RCC06,Hanks,Parker,1304,1995,1,02:30:49,Senior,23 to 49,Male
RCC13,Palamarek,Genevieve,1305,1966,0.809,02:54:12,Master,50 to 69,Female
RCC04,Fogg,Sean,1306,1991,1,02:23:59,Senior,23 to 49,Male
RCC15,Forsyth,Stephen,1307,1996,1,02:54:16,Senior,23 to 49,Male
RCC07,Oprecio,Cassiopeia,1308,1948,0.719,01:37:03,Veteran,70 to 79,Female
RCC03,Harlton,Tracy,1309,1964,0.927,02:28:35,Master,50 to 69,Male
RCC04,Flater,Asher,1310,1961,0.914,01:12:48,Master,50 to 69,Male
RCC15,Barnes,Joshua,1311,1968,0.944,02:05:42,Master,50 to 69,Male
RCC06,Berry,Glenn,1312,1996,1,03:15:42,Senior,23 to 49,Male
RCC08,Dankworth,Bridget,1313,1994,0.862,03:09:04,Senior,23 to 49,Female
RCC06,Davison,Andres,1314,1989,1,01:18:03,Senior,23 to 49,Male
RCC11,Formstone,Matthew,1315,1947,0.818,01:18:14,Veteran,70 to 79,Male
RCC16,Grozelle,Erdem,1316,1985,1,01:39:34,Senior,23 to 49,Male
RCC16,Phillips,Marc,1317,1991,1,01:33:59,Senior,23 to 49,Male
RCC05,Feick,Nathaniel,1318,1968,0.944,02:05:30,Master,50 to 69,Male
RCC15,Croken,Miguel,1319,1966,0.936,01:15:38,Master,50 to 69,Male
RCC02,Cruickshank,Haakon,1320,2006,0.857,01:45:05,Junior,16 to 18,Male
RCC02,Fernsby,Demelza,1321,1979,0.984,01:39:48,Senior,23 to 49,Female
RCC02,Bredenberg,Ayden,1322,1967,0.94,03:01:51,Master,50 to 69,Male
